,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
24,0.001,0.5235987755982988,0.0,0.0,0.9,-0.6,0.0,19.06476211703547,30.40198165469299,-21.584565462472007,31.07488000632478,-11.881572719107007,11.651994682449805,12.12217894132751,15.767527826623581,757.0,756.0,0.8391,-0.0004,-7.9366,1.2941,33.3777,0.0566,-0.538640253674,0.0354132094457,0.900036758043,0.0286480749981,-0.049615593694,3.62676649485e-06
25,0.001,2.617993877991494,0.0,0.0,0.5666666666666667,-0.6,0.0,13.159940254735968,22.669780667188938,-14.655189280357131,24.591830970646296,-9.268795129581479,11.809979516954696,9.461166349252037,14.877450317280548,756.0,755.0,0.6645000000000001,0.1236,-4.3906,-3.1954,26.6415,-0.0203,-0.661110353874,0.0352125200499,0.56669809277,0.0286459928806,0.0496098244006,5.50451763132e-06
26,0.001,2.617993877991494,0.0,0.0,0.2833333333333333,-0.6,0.0,8.09270744568647,14.209288360773927,-8.870936470717368,15.914402964066799,-8.783495007230751,14.543369339027237,8.897168909763353,17.72364670343862,756.0,755.0,-0.0517999999999999,0.0831999999999999,-2.0128,-3.8229,-3.1451,-0.0421,-1.38518728103e-05,-4.71981750022e-06,0.283343455144,0.02864135316,0.049627054514,-4.24200165022e-05
27,0.0755,0.0,0.0,0.0,0.0666666666666666,0.6,0.0,6.554233118220847,12.314663994337883,-7.165961542588126,13.853996993630117,-7.42376137857148,13.212246898150537,7.515520642226571,15.97871014758278,755.0,755.0,-0.1427999999999999,0.0930999999999999,-0.7845000000000001,-4.4201,-5.376,0.0729,5.68557961881,-0.199394237669,0.265700523784,1.93555208797e-06,-4.32583860235,-6.4164502042e-06
28,0.0755,3.665191429188092,0.0,0.0,0.9,0.0,0.0,15.647649890930243,26.9607688164425,-18.59005513725493,22.912748651373164,-14.143656718960417,14.799353465221333,13.46598537693913,23.602604177896232,756.0,755.0,0.5968000000000001,0.4507,-7.8241,-17.5844,18.0832,-0.283,-4.78907899065,-2.87124531634,1.09093863795,-2.16137870489,3.74539199368,1.29612383876e-05
29,0.001,2.617993877991494,0.0,0.0,-0.1,-0.6,0.0,6.361975613419702,11.79866222837795,-6.611036471912095,13.880013889392803,-6.466843343311235,12.384042383038377,6.816402442949681,14.270267325833087,755.0,754.0,0.0038,0.0018,0.0092,-0.0403,0.0087,0.0352,-0.673926510911,0.0275109152884,-0.101524396169,0.0286400820501,0.0496266419798,-1.05912780825e-05
30,0.001,2.617993877991494,0.0,0.0,-0.05,-0.6,0.0,6.3488671471832605,11.785653780496606,-6.589189028184691,13.845324695042555,-6.458104365820275,12.384042383038377,6.807663465458719,14.265931176539306,755.0,755.0,0.0024,-0.0009,0.0060999999999999,-0.0399999999999999,0.0022,0.0184,-6.71063863966e-06,2.53807894623e-06,-0.0499964000902,0.0286429891562,0.0496121782611,-1.63793463068e-05
31,0.0755,0.0,0.0,0.0,0.7333333333333333,0.0,-0.6,9.57046817861031,30.04559447278151,-17.00736464814715,15.632386553852964,-12.901987937450446,9.388977103119016,7.957173177282213,26.24488100589969,756.0,756.0,0.0195999999999999,0.8112999999999999,-6.172700000000001,-37.1336,-0.3286,-0.0738,5.1357285289,-0.799427290838,0.928574227395,1.27650397622e-06,-4.32582708311,5.61457059271e-06
32,0.001,0.0,0.0,0.0,0.9,0.6,0.0,11.450459643572591,14.526014483014078,-13.251753791396917,14.66919204512264,-19.617492333222685,25.01702494296869,19.52567879656174,32.91782314295932,756.0,756.0,-0.6843,-0.0387,-7.941900000000001,-2.6202,-32.89470000000001,-0.1964,0.66981876642,0.000147706325151,0.899931512268,-7.5276267592e-06,-0.0572872749083,1.98342770792e-05
33,0.0755,4.188790204786391,0.0,0.0,-0.1,0.0,0.0,6.340128169692299,11.75096458614636,-6.584819539439211,13.86700544151146,-6.493060275784119,12.470765368913996,6.8994227291138115,14.322301117358458,755.0,755.0,0.0092,0.0113999999999999,0.0036999999999999,-0.0668,0.0196,0.0513,-2.83564305692,-4.76541900628,0.0999973306722,-3.74538563417,2.16138796188,-1.37082119454e-05
34,0.0755,3.665191429188092,0.0,0.0,-0.1,0.6,0.0,6.34449765843778,11.772645332615264,-6.57171107320277,13.836652396454992,-6.5192772082570025,12.518463011145586,6.9037922178592925,14.396015655352736,755.0,755.0,-0.0044,0.0118999999999999,-0.0568999999999999,-0.2724000000000001,-0.7436,0.0008999999999999,-4.16566901381,-2.83545595776,0.0999890200278,-2.16139013119,3.7453887472,9.87020991354e-06
