,theta,phi,xoff,yoff,zpush,xshear,yshear,Bx00,Bz00,Bx01,Bz01,Bx10,Bz10,Bx11,Bz11,Temp0,Temp1,Fx,Fy,Fz,Tx,Ty,Tz,X,Y,Z,U,V,W
24,0.001,1.0471975511965976,0.0,0.0,1.0,0.6,0.0,13.72174314298715,12.379540347424303,-12.629928194824474,19.690618427972083,-18.469405458683557,30.275577621595577,22.59162241265361,28.479841495974508,745.0,746.0,-0.4429,-0.0937999999999999,-7.716299999999999,-2.4401,-27.6946,0.0558999999999999,0.63544634698,0.0614710965516,1.00003662498,0.049616127129,-0.0286436061548,1.49479783046e-05
25,0.0355,0.0,0.0,0.0,-0.1,0.6,0.0,6.733084421501647,11.360723359812901,-6.164750397151005,14.785061749142034,-6.051527842407025,12.958257252213034,7.34514285614428,13.440965226492757,744.0,744.0,0.0121,-0.0033999999999999,-0.0728,0.0402999999999999,-0.0937,-0.1002,3.03679172676,-0.0440734630941,-0.0557748797586,1.37050873725e-06,-2.03401321743,-1.25639643594e-05
26,0.0355,0.0,0.0,0.0,-0.05,0.6,0.0,6.785177917992955,11.417157981011819,-6.186290405526795,14.879837785995509,-6.051527842407025,12.940892753382597,7.375298867870385,13.402193211416337,744.0,745.0,0.0325,-0.0068,-0.1389,0.1803,0.8683,-0.1178999999999999,-0.000218765795031,-5.13651442708e-05,-0.0500317468893,8.77917026917e-05,-2.03394609477,-0.00016623406245
27,0.001,4.188790204786391,0.0,0.0,0.45,0.6,-0.6,6.872000412145137,14.54710889519795,-9.59822773225188,12.251956764149169,-11.703672211714016,15.111455107187126,9.507759697073563,25.51629392196045,744.0,745.0,-0.3816,0.3742,-2.8702,-19.5144,-19.4159,-0.3011,0.564778273492,-0.661050541854,0.450034595408,-0.049623362372,0.0286421845107,2.04873720491e-05
28,0.001,2.0943951023931957,0.0,0.0,0.175,0.6,-0.6,6.776495668577738,12.79329451332389,-7.465766903048702,13.83299337893213,-7.931234840801746,13.765706447828318,8.03442312416955,17.227698698956583,744.0,744.0,-0.215,0.2206,-1.0832000000000002,-10.9845,-10.47,-0.1268999999999999,0.56484594941,-0.539247535894,0.175025627581,0.0496353807858,0.0286526817498,1.57009202632e-05
29,0.001,2.0943951023931957,0.0,0.0,0.175,0.6,0.0,7.110762271063635,11.18707837150854,-6.569702554615851,14.345645578275924,-7.588285988900631,15.667119069761085,9.05541952118198,16.409178380676575,744.0,744.0,-0.3658,-0.0266,-1.2100000000000002,0.2077,-17.144299999999998,0.0404,0.564859193073,0.0607224283758,0.175029773357,0.0496195012141,0.0286439999065,-4.82137100682e-06
30,0.0355,1.0471975511965976,0.0,0.0,0.45,0.6,0.0,8.166152930932522,11.923452018834988,-8.345235831119517,14.767963820979062,-10.8722770138958,19.3338014338195,11.940239283161706,21.483809598295284,745.0,745.0,-0.5092,-0.0436999999999999,-3.1242,-1.5246,-24.9668,0.1507,1.80609592922,2.12133374078,0.493541602766,1.76139696595,-1.01684362665,-7.95389557822e-06
31,0.0355,1.0471975511965976,0.0,0.0,0.225,0.6,0.0,7.575262614777804,15.575955450901295,-8.999415499404927,15.948222201434676,-7.82270672311152,11.985845317708606,7.491614913099649,15.909450186358255,744.0,744.0,0.1427999999999999,0.1692,-0.9680000000000002,-9.2124,5.821400000000001,-0.2496,-1.38973577436e-05,-8.52743591416e-06,0.225003182182,1.76139844857,-1.01684192371,-5.57076270371e-06
32,0.001,2.0943951023931957,0.0,0.0,0.45,0.0,0.0,10.07575044636062,15.120137356602344,-9.628383743977984,20.07097980456082,-8.73868403641703,15.78867056157414,10.43398005723252,16.10761826341552,744.0,745.0,0.0364,-0.0451999999999999,-3.3095,-0.6296,-2.4973,-0.137,-0.0351485328954,0.0607390856205,0.449997330032,0.04961316656,0.0285411383686,0.000171095695283
33,0.001,0.0,0.0,0.0,0.175,-0.6,0.6,8.456510930422443,12.632672899142355,-6.8755706735520645,18.57179522160586,-5.921294101178753,13.561673586570693,8.19812718782555,12.187336739021799,744.0,745.0,0.2814,-0.2464,-1.162,10.189,10.27,-0.1222,-0.529900793281,0.599972989469,0.175037336253,-8.85517317933e-06,-0.0572966617787,2.0202998171e-05
